,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,03-Jan-2011,6177.45,6178.55,6147.2,6157.6,96028639,4477.36
1,04-Jan-2011,6172.75,6181.05,6124.4,6146.35,181727905,7678.55
2,05-Jan-2011,6141.35,6141.35,6062.35,6079.8,139614193,6606.21
3,06-Jan-2011,6107.0,6116.15,6022.3,6048.25,152338978,7050.18
4,07-Jan-2011,6030.9,6051.2,5883.6,5904.6,171809106,8325.79
5,10-Jan-2011,5901.3,5907.25,5740.95,5762.85,156945855,7920.38
6,11-Jan-2011,5767.95,5842.6,5698.2,5754.1,161261704,8307.22
7,12-Jan-2011,5800.05,5874.2,5711.3,5863.25,188116995,8709.68
8,13-Jan-2011,5850.75,5857.75,5736.7,5751.9,175347539,8150.11
9,14-Jan-2011,5752.1,5833.65,5639.65,5654.55,174568442,7372.1
10,17-Jan-2011,5648.8,5696.15,5624.15,5654.75,148497108,6417.27
11,18-Jan-2011,5682.55,5730.5,5671.25,5724.05,141008889,6160.38
12,19-Jan-2011,5737.35,5747.65,5662.55,5691.05,146719934,6694.79
13,20-Jan-2011,5656.0,5729.45,5634.5,5711.6,130496983,6947.7
14,21-Jan-2011,5692.05,5717.55,5674.5,5696.5,119990780,6083.61
15,24-Jan-2011,5717.1,5756.0,5697.75,5743.25,108832157,6641.96
16,25-Jan-2011,5763.3,5801.55,5680.65,5687.4,126128667,7302.14
17,27-Jan-2011,5725.3,5726.1,5594.95,5604.3,201496674,9182.79
18,28-Jan-2011,5614.0,5614.4,5459.55,5512.15,173107003,8122.35
19,31-Jan-2011,5452.55,5526.85,5416.65,5505.9,177847681,7873.96
20,01-Feb-2011,5537.3,5539.15,5402.0,5417.2,171232063,7797.43
21,02-Feb-2011,5469.55,5490.6,5415.65,5432.0,172198228,7860.06
22,03-Feb-2011,5430.45,5532.65,5418.0,5526.75,154228754,6254.0
23,04-Feb-2011,5519.9,5556.3,5369.05,5395.75,187819542,7685.49
24,07-Feb-2011,5430.15,5440.35,5376.95,5396.0,150447066,5905.38
25,08-Feb-2011,5432.35,5432.35,5303.4,5312.55,155600262,6479.05
26,09-Feb-2011,5293.05,5339.45,5225.65,5253.55,246525934,9294.77
27,10-Feb-2011,5246.05,5272.6,5196.8,5225.8,225237990,8309.47
28,11-Feb-2011,5219.65,5319.45,5177.7,5310.0,211250584,7717.69
29,14-Feb-2011,5340.25,5463.8,5340.25,5456.0,175710338,7073.77
30,15-Feb-2011,5467.75,5506.5,5408.35,5481.0,170459703,7071.0
31,16-Feb-2011,5467.6,5504.8,5460.35,5481.7,140517190,5258.76
32,17-Feb-2011,5501.7,5553.0,5463.4,5546.45,143669623,5601.73
33,18-Feb-2011,5557.55,5599.25,5441.95,5458.95,180906498,7684.74
34,21-Feb-2011,5456.6,5526.25,5413.1,5518.6,137634026,6109.38
35,22-Feb-2011,5504.4,5519.45,5437.3,5469.2,166271411,7383.12
36,23-Feb-2011,5452.45,5495.2,5427.55,5437.35,173584660,7203.8
37,24-Feb-2011,5408.75,5423.4,5242.5,5262.7,259347677,11011.16
38,25-Feb-2011,5321.05,5338.2,5232.75,5303.55,193536325,7679.23
